track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rate yet,0.5438425361159429,0.6401625497447635,-5.76069956011954,0.05206671942959771,0.06485337348425409,0.0,0.08774602236569287,0.26102262669293486,176.16865630984012
Bit military,0.7129326853994172,0.801195069117926,-3.4178820791368256,0.0588716471630589,0.0,0.0,0.1378206752035713,0.5840168592261924,172.6746521071292
Know movement,0.4789217884729969,0.6657750813097136,-4.7849613770803625,0.040103744763781236,0.0,0.0,0.09282870958186305,0.32844140916207687,162.23946417205286
Cut itself determine,0.42458432992541145,0.7970054910187679,-4.287631491537163,0.050813603095295624,0.043968706548149904,0.0,0.11517108574012307,0.3970867663787149,177.73024752797613
Push deep anyone end,0.6314947376958572,0.8376766853449995,-2.855583437825862,0.07027407317633168,0.08157971856732274,0.0,0.12530449121719062,0.7263716432254941,177.60751332724695
Something listen,0.5521052741189185,0.9445305679672592,-3.7896153660180447,0.055465922863978584,0.01063077236887864,0.0,0.1013874663378578,0.6754420961558969,173.83619676937505
Food performance major,0.5058321280335323,0.5210260074085316,-6.626785422267317,0.02692061957493392,0.6858497773812942,0.0,0.11230689584772657,0.3738768692717359,103.7372953181461
Store,0.49440443208829254,0.4311553353812698,-4.734650671801507,0.03333257624694926,0.6859942029378001,0.0,0.08035265996841769,0.3590472610665951,115.25544294635887
Seek huge,0.5974929628307403,0.7420337534988471,-5.326106778890795,0.0380458364770699,0.0,0.0,0.10720679332198116,0.25966786496443084,177.80643048368947
Step reduce shoulder,0.7708212304244594,0.6907072356451216,-2.81270607346748,0.0712491168371296,0.12535864392244053,0.0,0.11467743755859527,0.9216259866525855,103.84577127398899
Now sometimes,0.6893813019290149,0.9371257920266669,-4.5578668612610835,0.06469843524764256,0.07715455053267126,0.0,0.08886981980707999,0.6476920564445227,172.69764472068232
Strong,0.6624659824152899,0.7924750286572897,-3.1259272635582533,0.05154908227142743,0.11602014653875328,0.0,0.14151150859861164,0.7612274392274766,162.4245416433368
Find,0.6176248262399964,0.5257949329349013,-6.607970492479835,0.038112348173766436,0.6289140382870498,0.0,0.06253013879010025,0.32542061000109923,100.73735873082722
Player evidence begin,0.7757482683593229,0.5853999991494865,-3.6122798562319893,0.0749989478982237,0.03958232846436589,0.0,0.04751408233758406,0.9633420658788304,86.59035006505174
Enter realize wrong,0.9163673173531728,0.6449008064518686,-1.973143940145127,0.09356642134814347,0.05021437703753811,0.0,0.10536136470395811,0.9286283968117774,103.77044713659703
No material,0.5985595097711682,0.6309602851372856,-5.999649474012294,0.033464555898106665,0.0,0.0,0.061590570041834374,0.23604872396096166,171.31707999098938
Indicate hundred,0.8814204956143246,0.869994026568927,-5.539743867277534,0.07993256840339126,0.0,0.0,0.12520771291184213,0.9054575399004576,96.23072283013371
Keep hot,0.8643163129808623,0.8599306342218715,-4.903522921496325,0.07945453729797224,0.021331271454391714,0.0,0.12699137669710087,0.7608059893591986,111.6679501941574
Federal government author,0.492564217546787,0.7002763164258891,-5.987459089505226,0.0569504780927301,0.0,0.0,0.13499777389347237,0.3463541522950011,165.40927602630094
Hotel security total,0.5310159041427489,0.7901997737553499,-3.6508264994417745,0.05267247612084444,0.06160110527395498,0.0,0.041247258671458044,0.38522940970194103,163.289704184032
